aaab 昌明
agvrb 門庭如市
agygi 門羅主義
agykm 量產
agylb 旺市
agyrr 量詞
agytd 開基立業
ahahm 影星
ahan 閉門
ahank 閉門羹
ahant 閉關
ahatg 易開罐
ahbu 閉目
ahbuv 閉眼
ahbuv 眉揚目展
ahceb 量才錄用
ahceb 量材錄用
ahcfc 閉鎖
ahdg 日程
ahdm 影本
ahdn 日利
ahdwr 明修棧道暗渡陳倉
ahdwr 明修棧道，暗度陳倉
ahe 易水
ahfuk 闡揚光大
ahfur 闔第光臨
ahgis 影城
ahgou 閉起
ahgpd 易地
ahgv 日程表
ahgym 影壇
ahhbd 易學
ahhhi 影射
ahhli 影印機
ahhlm 影印本
ahhmr 影后
ahhpl 影印
ahhxc 易與
ahiss 開物成務
ahjcr 易容
ahjng 即物窮理
ahjtg 閉塞
ahlba 易幟
ahlll 影片
ahlpr 易北河
ahmdi 影碟機
ahmfg 影形不離
ahmkh 暴殄天物
ahmov 明揚仄陋
ahmrd 影碟
ahnd 影子
aho 易人
ahocr 易俗
ahoe 日後
ahogd 影集
ahoji 易傳
ahoma 閉會
ahomr 閉合
ahond 閉氣
ahono 影像
ahonv 明揚側陋
ahopc 易貨
ahoyt 易位
ahptg 易懂
ahq 易手
ahr 閉口
ahrmr 閉路
ahrrk 量才器使
ahryb 閉嘴
ahseb 量才取用
ahstv 影展
ahtab 閉幕
ahtat 晨參暮禮
ahtau 晨參暮省
ahtbm 閉幕式
ahtcd 影業
ahup 日息
ahvan 影響到
ahvas 影響力
ahvfm 易經
ahvhm 易姓
ahvjj 影影綽綽
ahvla 影響
ahwfu 影圈
ahybb 影帝
ahybf 闊步高談
ahyfd 影迷
ahyjo 影評家
ahyjs 暖身運動
ahym 閉上
ahymv 閉上眼
ahynl 影劇界
ahynu 影劇院
ahynw 影劇圈
ahyon 影劇
ahyrc 易讀
ahyrj 影評
ahyro 易言之
ahysy 易於
ahyti 影戲
ahyuu 眉厖齒鯢
aia 時日
aiaam 時間性
aiaav 時間表
aiagi 時時
aiana 時間
aians 晶瑩剔透
aibtt 日滋月益
aibua 開雲見日
aibuk 開雲見天
aicj 時針
aicsh 時分
aicyg 時鐘
aidsg 時框
aidvi 時機
aiedn 日薄桑榆
aiem 閩江
aifbb 時常
aifbr 時尚
aifhu 閩省
aifkt 時弊
aifmu 時光
aigis 時勢
aigje 時報
aigki 晁勾敖融
aihal 時節
aihja 日轉千階
aihje 時段
aihjn 日轉千街
aihni 時風
aihnm 巴伐利亞
aihnt 既得利益
aihon 時行
aihxc 時興
aiinn 時序
aiipm 時式
aiipp 時態
aiisf 時機成熟
aijbj 閩南
aijbm 時宜
aijbr 閩南語
aijbr 閩南話
aijcm 時空
aijln 時事
aikhe 時疫
aikmm 時症
ailmp 閩北
aimbl 時而
aimlb 時雨
aimmd 明公正氣
aimmi 明公正義
aimmk 時政
aimmu 明公正道
aimmv 時辰
aimvf 晦魄環照
aimwu 日薄西山
aimy 時下
aind 戥子
ainfq 時鮮
ainhs 時務
ainlv 時限
ainof 閒雲孤鶴
aio 時人
aioii 時令
aioip 時代
aiojm 時值
aiolk 時候
aiomc 時價
aiopm 時代性
aishu 時髦
aisrr 時區
aissr 時局
aitcb 時期
aitgk 易守難攻
aitop 曇花
aitov 時艱
aitqg 時羞
aitqm 時差
aivgv 時裝
aivvd 時裝業
aivvr 時裝店
aiwnf 閒雲野鶴
aiybj 時運
aiydl 時速
aiykk 時效
aiykl 日薄虞淵
aiykm 時效性
aiynn 時時刻刻
aiynv 時刻表
aiyon 時刻
aiyrb 時論
aiyrh 時諺
aiyrj 時評
aja 早日
ajab 闡明
ajaia 日許時間
ajamv 早晨
ajanr 聞問
ajanu 早晚
ajaoy 明辨是非
ajbui 暈眩
ajbuu 聞見
ajdup 聞聲相思
ajdvi 暈機
ajefs 旱澇
ajekf 旱潦
ajelp 早洩
ajenn 暈暈沉沉
ajfmg 旱煙
ajfug 聞莘党翟
ajgje 早報
ajgou 早起
ajgpd 闢地
ajgpd 旱地
ajhdj 闡釋
ajhgu 早先
ajhk 早夭
ajhni 聞風
ajhoi 聞得
ajhsi 門單戶薄
ajhst 門殫戶盡
ajhxw 早稻田
ajhyr 暈船
ajhyr 旱船
ajibg 曦暉朗曜
ajikf 闢為
ajjcn 闡究
ajjjb 早朝
ajjv 早安
ajjwj 暈車
ajlmn 闢劃
ajme 日寇
ajmfa 悶聲不響
ajmfv 日旰不食
ajmfx 時運不濟
ajmgg 早班
ajmgn 聞到
ajmgn 早到
ajmk 旱天
ajmto 暈厥
ajmwr 早一點
ajmym 早一些
ajnao 旱象
ajnec 昭聾發聵
ajnir 聞名
ajnkq 闢建
ajnni 日許多時
ajnoe 闡發
ajo 聞人
ajogk 照單全收
ajoie 早飯
ajoiv 旰食
ajokr 聞知
ajomn 暈倒
ajoos 闢作
ajopv 開運化妝
ajoq 早年
ajqah 闡揚
ajqjp 早慧
ajqka 早春
ajqrd 早操
ajrmr 旱路
ajsu 早已
ajtcb 早期
ajvha 早婚
ajvrd 開華結果
ajvvf 旱災
ajw 闢田
ajw 旱田
ajwfd 旱鴨子
ajwfr 早點
ajyav 早退
ajybh 開闢市場
ajyev 早餐
ajyfu 早就
ajygq 聞達
ajyic 闡述
ajyif 早熟
ajyjg 照章辦理
ajykm 早產
ajylb 早市
ajym 早上
ajymh 早歲
ajymu 早產兒
ajynb 時運亨通
ajypm 早些
ajypv 日旰忘食
ajypv 日旰忘餐
ajyql 早逝
ajyrj 聞訊
ajyru 闢謠
ajytu 聞道
ajyua 問十道百
akajd 開天闢地
akaju 顯微闡幽
akaqs 閨英闈秀
akarf 映照
akbvm 昊天罔極
akbvu 眉尖眼尾
akdcm 暴斂橫征
akhck 曰嚴與敬
akhfe 暗送秋波
akhhi 映射
akjma 開放空間
akkso 明效大驗
aklyu 映襯
akmbm 映雪
akmfb 昊天不吊
akmfm 閎大不經
akmfn 日夜不停
akmfq 冒大不韙
akmjm 晴天霹靂
akmk 昊天
akmkb 開放政策
akmpg 暴戾恣睢
ako 映入
akono 映像
akoor 映像管
akqhn 顯微手術
akquo 明文規定
akski 易轍改弦
aktcg 日夜兼程
aktgi 映對
akuu 映出
akwcy 問天買卦
akydq 暌違
akydv 日莫途遠
al 日中
ala 即日
alagi 即時
alaj 即早
alamo 即是
alan 閘門
alayf 即景
albit 日新月盛
albkf 昂然
albnn 日中則移
albno 日中則昃
albsv 日引月長
albta 日新月著
albwc 日新月異
aldhe 閘板
aleyl 日新又新
alhgr 即告
alhxc 即興
alikf 即為
alimg 歇斯底里
alirm 即或
alitb 即席
aljdj 聞所未聞
aljue 閨中密友
alkds 閒邪存誠
allmc 昂貴
almfj 聞所不聞
almfy 晚節不終
almnr 即可
aloii 即令
aloin 即今
alojk 即使
alomk 即便
aloyt 即位
alphe 日中必湲
alphm 日中必彗
alphn 日中必移
alpho 日中必昃
alqah 昂揚
alqkf 暗中摸索
alr 閘口
alsip 問柳尋花
alsqy 閎中肆外
alsu 即已
alsvv 日近長安遠
althu 昂首
altis 昂藏
aluuu 開柙出虎
alvio 日中將昃
alvmi 即將
alwgg 即墨
alwni 閒神野鬼
alydl 即速
alyjp 問柳評花
alyon 即刻
ama 旦日
amaas 明查暗訪
amahm 星星
amajg 開疆闢土
amam 旦旦
amb 星月
ambyb 日征月邁
amdbu 星相
ameil 星洲
amemr 星河
amf 星火
amfdf 顯祖榮宗
amfmu 星光
amha 日曆
amhgi 星等
amhng 景星鳳皇
amhnn 景星鳳凰
amhrj 問一答十
amhvf 星系
amiei 景星慶雲
amiof 星星之火
amiog 星座
amiqn 景星麟鳳
amjcm 星空
amjkk 門生故吏
amjkx 門生故舊
amjmj 照本宣科
amjoa 星宿
amjvi 映雪囊螢
ammbi 星雲
ammfr 闕一不可
ammge 星球
ammha 星曆
ammmj 日上三竿
ammmv 星辰
ammth 星形
ammu 日元
amnao 星象
amnbg 旦角
amnd 星子
amni 旦夕
amnlc 星隕
amnlf 星際
amnve 最低限度
amodc 星條旗
amorj 聞一知十
amorm 聞一知二
amqhf 顯祖揚宗
amqhr 顯姓揚名
amqhr 顯祖揚名
amqno 暗錘打人
amqrd 開疆拓宇
amqrg 開疆拓土
amqru 開疆拓境
amsfd 星馳
amsqf 星馬
amsrq 星群
amsuw 巴三覽四
amsvg 開疆展土
amtaa 旦暮
amtba 星期日
amtbc 星期六
amtbg 晴空萬里
amtbk 星散
amtbk 星期天
amtbm 星期一
amtbm 星期三
amtbm 星期五
amtbr 日試萬言
amtbw 星期四
amtc 日頭
amtcb 星期
amtcn 明正典刑
amtrr 星星落落
amtvk 星芒狀
amvi 日環蝕
amvmk 星狀
amwji 星團
amwrr 星星點點
amyca 映雪讀書
amyg 星主
amyj 星斗
amyok 星夜
anabd 暗鬥明爭
anahs 關門閉戶
anani 門閥
ananm 門閂
anbbe 日削月朘
anbjn 日削月割
anbur 閉門覓句
anbuu 開門見山
anbuv 眉舒目展
anclb 閉門卻掃
ancln 閉門卻軌
ancoi 門鈴
and 日子
andau 門楣
anddf 門禁
andhe 門板
andki 明罰敕法
andlv 門樓
andmb 門柄
andog 門栓
andsg 門框
andst 門檻
andyg 門柱
anebi 星移漏轉
anebr 門洞
anegi 門法
anehv 門派
anfkc 門類
anfnt 門燈
anfqh 門券
anfqm 暴風半徑
angbn 閉門埽軌
angms 閉門墐戶
angsh 時移勢易
angvr 聞風喪膽
anhhk 星移物換
anhic 門簾
anhjg 日行千里
anhnh 門第
anhni 門風
anhom 門徑
anhoo 門徒
anhqm 門生
anhs 門戶
anhsm 門扇
anhss 門房
anhsu 門到戶說
anhsy 門扉
anhui 閉門自守
anhxu 門兒
ani 日夕
anifl 門神
aniil 門廊
aning 門庭
anioa 旦夕之間
anior 昌亭之客
aniou 旦夕之危
anjcw 門窗
anjgc 閉門塞竇
anjgs 閉門塞戶
anjhr 門客
anjng 即事窮理
anjrc 門額
ankgr 關門大吉
ankkb 暴風疾雨
anllj 門牌
anmar 闔門百口
anmbc 聞風而興
anmbg 聞風而至
anmbo 聞風而逃
anmbs 聞風而動
anmbu 聞風而起
anmer 聞風破膽
anmfm 閎侈不經
anmgv 門環
anmib 曉風殘月
anmtf 暗吃一驚
anmum 星行電征
anmvh 剔牙
anmvh 門牙
anmwf 門票
anmwl 門面
anmy 門下
annd 門子
anndr 開利除害
annih 日乾夕惕
anniy 門外
annld 剔除
annlv 門限
annmt 開門延盜
annnk 明刑弼教
annyo 門外漢
ano 門人
anoho 暗箭傷人
anoir 門館
anokb 闌風伏雨
anorh 時移俗易
anork 閉門合轍
anpth 時移世易
anqbc 閉門掃跡
anqer 閉門投轄
anqjt 開門揖盜
anqnr 關門打狗
anr 門口
anrmr 門路
ansjt 門聯
ansob 暴風驟雨
ansvb 闌風長雨
antbn 門前
antgs 暗箭難防
anthu 門首
antrm 關門落閂
anvap 聞風響應
anvfj 門縫
anvgc 景行維賢
anvmw 門牆
anwpb 閉門思過
anwpp 閉門思愆
anybg 門望
anybl 門市部
anyhl 門診部
anyhs 剔透
anyir 閉門謝客
anyje 時亨運泰
anyji 星移斗轉
anyka 曉行夜宿
anykg 曉行夜住
anylb 門市
anymu 門齒
anyov 聞風逃竄
anyrh 門診
anyrj 閉門造車
anytu 門道
anyvh 聞風遠揚
anyvu 聞風遠遁
anyvv 昌亭旅食
ao 日人
aoaag 明來暗往
aoaby 閒是閒非
aoaev 暴飲暴食
aoaip 日據時代
aoajv 日昃旰食
aoant 閃開
aob 日內
aobcl 歇腳
aobed 日久月深
aobhg 日來月往
aobjr 照人肝膽
aobn 日內瓦
aobop 日久見人心
aobuq 眉飛目舞
aobvi 眉來眼去
aobvk 眉飛眼笑
aobvk 眉歡眼笑
aocvd 閃鑠
aoedn 景入桑榆
aofdd 閃閃爍爍
aofmu 閃光
aofug 閃耀
aofut 閃光燈
aofvd 閃爍
aohai 是的
aoher 歇後語
aohgs 閃動
aohhd 閃躲
aohmb 日久生情
aohqo 闕失
aohqo 閃失
aohup 歇息
aohxh 閃身
aoifb 日以為常
aoifu 量入為出
aoii 日蝕
aoiv 日食
aoivo 既來之，則安之
aojnd 闕字
aojoa 歇宿
aojrk 是故
aokti 曉以大義
aokug 冒險犯難
aokyk 明驗大效
aolmy 是非
aolyc 是非題
aolyy 是是非非
aom 歇工
aoman 明人不做暗事
aombp 日入而息
aombu 閃電
aomfo 是不是
aomfr 是否
aomfv 日昃不食
aomgu 閃現
aomik 星飛雲散
aomkb 既定政策
aomkv 日久天長
aomoa 歇一會
aomui 閃電戰
aomy 歇下
aomyg 巴人下裡
aoneu 閃閃發光
aonil 晨提夕命
aonug 閒人免進
aonuq 眉飛色舞
aonuu 眉飛色悅
aoofr 日飲無何
aopko 闕疑
aoq 歇手
aoqfj 剔蠍撩蜂
aotcd 歇業
aotja 閃著
aotqb 昌歜羊棗
aouu 閃出
aovig 開來繼往
aovik 日以繼夜
aovio 是以
aovr 闕如
aovrw 暴跳如雷
aows 聞人.東方
aoybb 閃過
aoyhd 日久歲深
aoyhv 日久歲長
aoyji 時來運轉
aoyju 量入計出
aoyk 闕文
aoypv 日昃忘食
aoyru 閃亮
aoysj 閃避
aoysk 閃族
aoyvr 日飲亡何
apab 昆明
apbha 閎意眇指
apbuh 開心見腸
apbum 明心見性
apbur 開心見膽
apbus 開心見誠
apbvk 眉花眼笑
apdap 悶棍
apdgj 閒花埜草
apdmh 顯花植物
apemw 悶酒
apfbl 時代精神
apfcg 照此類推
apgah 曬場
apgif 悶熱
aphiu 悶得慌
aphnb 日麗風清
aphnr 日麗風和
apjgq 昭德塞違
apjjn 曬乾
apjki 明恥教戰
apkih 曬太陽
apklb 昆布
aplid 昆蟲學
aplii 昆蟲
apmbd 日曬雨淋
apmbw 悶雷
apmfd 悶悶不樂
apmgi 昆玉
apmmu 曇花一現
apmnp 悶死
apmtc 悶頭
apnlh 昆陽
apofi 問心無愧
apofk 即鹿無虞
apol 昆仲
apolo 時乖命蹇
apond 悶氣
appga 明德惟馨
apprl 曠心怡神
apqer 量能授官
aptbt 悶葫蘆
aptja 悶著
aptrf 聞寵若驚
aptw 昆曲
apvha 閎意妙指
apvrc 開花結實
apvrd 開花結果
apwgf 曬黑
apwnj 閒花野草
apwpb 時代思潮
apygs 悶虧
apyjo 時乖運蹇
aqgah 闈場
aqhru 明眸皓齒
aqorf 問羊知馬
aqsjr 巴拿馬運河
aqtro 明眸善睞
araan 明槍暗箭
araan 明搶暗偷
arab 昭明
arabr 閒言閒語
arafc 昭顯
arags 明槍易躲，暗箭難防
araoc 問題
araru 問問看
arbkf 昭然
arbkp 開口見喉嚨
arbuk 眉語目笑
arbun 問鼎
arbup 開口見心
arbur 開口見膽
arbuu 晤見
arbya 日居月諸
